shot_id,shot_made_flag
1,0.340918349
8,0.339207846
17,0.576525877
20,0.741770065
33,0.311536461
34,0.431406261
35,0.421457795
36,0.413250431
37,0.587147113
38,0.349520077
45,0.364247157
50,0.346326884
55,0.370521682
60,0.266717157
66,0.255665399
67,0.332481011
71,0.374229317
80,0.298949014
85,0.282049767
86,0.543614975
95,0.624738275
104,0.372035342
113,0.416987994
123,0.3252891
126,0.766556473
133,0.571350939
141,0.268473789
144,0.432328692
150,0.659984036
152,0.42870746
153,0.637455975
156,0.344408213
159,0.936121525
165,0.62317936
172,0.408407469
182,0.886404236
192,0.375223013
193,0.61967264
196,0.324790995
202,0.340876406
210,0.342097816
211,0.409304089
228,0.932511608
257,0.362872658
260,0.399101825
264,0.374566272
267,0.681565949
279,0.930675591
282,0.414341154
293,0.327484829
299,0.830426067
300,0.682490949
301,0.814951388
317,0.377087659
327,0.366561332
328,0.304123198
335,0.334786143
346,0.779459722
348,0.244346771
365,0.381239067
390,0.620742729
391,0.693625764
392,0.781763888
397,0.380635414
418,0.373063157
428,0.204429464
434,0.561873477
439,0.545355298
440,0.403514675
456,0.436234428
459,0.282430373
472,0.413870439
480,0.261528357
491,0.304986973
497,0.430704512
509,0.389536636
511,0.415447005
523,0.264977455
533,0.393334542
544,0.312697289
546,0.388121837
555,0.734987526
558,0.345230892
560,0.319532221
573,0.292057032
591,0.41995848
596,0.348946153
597,0.38772469
601,0.552723308
605,0.40094672
617,0.322612432
628,0.277081597
634,0.379785513
646,0.283924513
649,0.387945851
651,0.681615607
654,0.864550206
656,0.409902994
657,0.461177018
669,0.366201004
670,0.897302714
693,0.713328449
694,0.323583949
699,0.426254462
711,0.398588504
718,0.341506346
722,0.30007637
723,0.371378337
725,0.716218119
734,0.369175809
735,0.467602283
737,0.787738888
746,0.288133246
747,0.621876268
766,0.376220642
767,0.374670863
771,0.286910779
773,0.251270077
774,0.373372392
783,0.263553891
784,0.355605377
789,0.30552503
792,0.339395602
804,0.32019216
809,0.412490138
812,0.3317894
813,0.363369665
817,0.388586931
820,0.363462131
825,0.365431346
826,0.330054869
829,0.435196055
855,0.385368491
859,0.761551373
862,0.392474127
870,0.334562587
876,0.362654976
880,0.346455259
886,0.946219815
889,0.818830234
891,0.42809908
897,0.958028699
902,0.330276567
903,0.372562013
908,0.336122982
909,0.365638553
920,0.295575422
922,0.366993491
924,0.601951268
932,0.355747822
934,0.330950764
937,0.373877594
941,0.355623886
943,0.366431346
950,0.382812587
952,0.335100796
954,0.926460705
963,0.338100864
975,0.365106346
979,0.396204254
981,0.399684816
983,0.169669353
985,0.459418438
989,0.455803978
995,0.396160158
998,0.372362774
1008,0.227504383
1019,0.656511158
1023,0.398574487
1026,0.321062304
1029,0.722572102
1034,0.847388741
1036,0.700950672
1038,0.268485046
1039,0.646163768
